ticker	market cap	industry	sector	current price	gross margin	net income margin	expenses portion	ROE	ROA	receivables turnover days	inventories turnover days	total assets turnover days	liability/asset ratio	current ratio	acid-test ratio	revenue growth	net income growth	operating income growth	free cash flow growth	wacc	roic	excess return	economic profit	stockholders equity growth	dividend yield	dividend payout ratio	dcf	beta	 annual return	 annual risk	annual sharpe
MSFT	1.37E+12	Application Software	Technology	180.76	0.638671546	0.204975874	0.367817635	0.252452704	0.088964406	77.08351193	25.23243392	774.6018425	0.639381195	2.552227545	2.511195655	0.082179935	0.268366783	0.133480031	0.082995378	0.08620312	0.146064941	0.059861821	9022087189	0.035239776	0.019938667	0.62851683	109.8440266	0.912245925	0.292183172	0.20401051	1.432196665
AAPL	1.29E+12	Computer Hardware	Technology	297.56	0.38753441	0.217554579	0.114856064	0.466107752	0.156133808	28.34297027	7.997865143	484.5590927	0.654599576	1.28029424	1.244899539	0.080495068	0.084957391	0.055763369	0.060003723	0.105524199	0.259868318	0.15434412	30883865789	-0.033286069	0.01526039	0.246481131	217.88486	1.158114765	0.205728542	0.287296176	0.716085208
AMZN	1.16E+12	Online Media	Technology	2317.8	0.372878092	0.024923775	0.341758397	0.138992059	0.034802083	22.0353679	44.41071432	216.0091145	0.761994311	1.071189067	0.806089244	0.259031231	0.451180443	2.919240916	0.834958923	0.11033416	0.091818763	-0.018515397	-69373190.23	0.424099816	0	0	2166.563469	1.13555407	0.385533161	0.296021267	1.302383322
GOOGL	9.22E+11	Online Media	Technology	1349.02	0.58891009	0.196964998	0.342341611	0.140500361	0.109566819	52.55928518	3.299524834	596.4872971	0.217559967	4.678165223	4.657958486	0.197042129	0.30855645	0.1616588	0.235116286	0.102660387	0.136528623	0.033868236	6005796113	0.141942504	3.60E-05	0.000574994	2779.033948	1.041101996	0.207617552	0.241180617	0.860838464
GOOG	9.21E+11	Online Media	Technology	1351.11	0.58891009	0.196964998	0.342341611	0.140500361	0.109566819	41.94158125	3.299524834	465.1524506	0.217559967	4.678165223	4.657958486	0.169806178	0.277260468	0.126935231	0.168079402	0.104197049	0.136528623	0.032331574	5755268150	0.110224807	3.69E-05	0.000574994	2452.382105	1.058402812	0.211856353	0.239730671	0.883726526
FB	5.90E+11	Online Media	Technology	207.07	0.844132121	0.324961199	0.630151959	0.18321779	0.157241691	43.70316408	0	688.2435282	0.1384461	9.544492341	9.544492341	0.41806171	0.561602275	0.412891902	0.470432804	0.112308503	0.179783764	0.067475261	5714369764	0.230487697	0	0	456.6583229	1.139401628	0.232872366	0.289310491	0.804921955
BABA	5.36E+11	Retail - Apparel & Specialty	Consumer Cyclical	195.02	0.59898	0.358031235	0.334304864	0.201306856	0.111556712	0	0	925.8694198	0.36102794	2.258848818	2.258848818	0.467554644	0.465941167	0.206707383	0.394281111	0.132686197	0.154272737	0.02158654	966402118.8	1.060086947	0	0	396.470672	1.401617269	0.222090717	0.372156357	0.596767227
JNJ	3.94E+11	Drug Manufacturers	Healthcare	149.5	0.673346995	0.126953152	0.408326231	0.157696336	0.065952223	61.08603402	121.5085519	678.6615449	0.592103193	1.618360153	1.338693236	0.032464134	1.981456562	-0.041315006	0.048750388	0.070007812	0.108099335	0.038091523	3457002550	-0.033489158	0.025738564	3.111251403	560.31865	0.722230006	0.093408878	0.169226574	0.551975235
V	3.93E+11	Credit Services	Financial Services	178.44	1	0.44872372	0.231319687	0.249954541	0.132926752	21.79133354	0	1160.948277	0.458655666	1.776726414	1.776726414	0.126814279	0.187795775	0.162511307	0.168594768	0.083692403	0.18085013	0.097157727	4420149090	0.048967241	0.007896964	0.204214041	163.5954722	0.877664359	0.208692362	0.183268732	1.138723227
WMT	3.53E+11	Retail - Defensive	Consumer Defensive	124.73	0.251867131	0.023926867	0.207940433	0.155148176	0.056760176	0.591765265	42.93672145	147.9669725	0.635616131	0.829490735	0.223183355	0.015396441	0.091341044	-0.05175922	-0.010543264	0.033181157	0.100727207	0.06754605	8030589204	-0.016529884	0.02437474	0.565238524	828.0928646	0.324785015	0.117958481	0.182024408	0.648036614
PG	2.87E+11	Consumer Packaged Goods	Consumer Defensive	116.01	0.491969759	0.138440124	0.317972797	0.166772497	0.076108282	25.83927538	53.43730408	653.0574601	0.546682588	0.908948058	0.744072917	-0.0378563	-0.081570454	-0.133565384	0.04402407	0.042609864	0.107076847	0.064466984	5629828957	-0.073913807	0.031739322	0.977850313	235.7470723	0.412710989	0.088974713	0.151155805	0.58862915
JPM	2.80E+11	Banks	Financial Services	92	1	0.275614875	0.384515723	0.111523591	0.011181633	298.8279468	0	8790.235906	0.899341023	1.971681835	1.971681835	0.042392382	0.114754092	0.084631773	-1.617529636	0.07736321	0.049027132	-0.028336078	-16556932671	0.02429042	0.028337006	0.336571375	177.2642662	1.181869313	0.102563956	0.250518827	0.40940618
UNH	2.78E+11	Health Care Plans	Healthcare	293.04	0.881889606	0.047515102	0.150254242	0.203535918	0.068715504	15.49565432	0	230.0375616	0.664718857	0.715505514	0.715505514	0.132792986	0.207225842	0.139506277	0.21069099	0.070088832	0.117042944	0.046954112	4050736014	0.135823987	0.014077204	0.290643739	512.7674344	0.766306616	0.198308957	0.21146742	0.93777546
