ticker	industry	revenue growth	gross margin	net profit margin	free cash flow margin	return on total assets	R&D expenses	SG&A expenses	interest rate paid	income tax rate	cash turnover days	receivables turnover days	inventories turnover days	total current assets turnover days	fixed assets turnover days	total assets turnover rate	current ratio	acid-test ratio	times interest earned	liability/asset ratio	wacc	roic	\excess return	 economic profit	dividend yield	divident payout ratio
MCFT	Autos	0.050561983	0.243915698	0.06457606	0.103809214	0.138547572	0.008302547	0.121083508	0.070756636	0.065616142	9.882280186	7.348678864	29.45878762	46.91512288	24.66060983	172.053098	0.68004601	0.34699193	8.363548064	1.022214329	0.098733616	0.229715983	0.14786948	10566650.4	0.112951133	2.630152976
SCON	Semiconductors	-0.02519818	-4.358012729	-17.26293129	-15.11460335	-0.905254096	6.403448644	9.598987375	0	0	5268.085785	31.93770239	34.3244937	5486.02795	2915.995784	9154.890475	6.689582488	6.171865225	-90.69815613	0.215559929	0.027639322	-1.029372588	-0.977877852	-11610847.55	0	nan
CODI	Employment Services	-0.060936273	0.290908594	0.062120879	0.047939615	0.04768651	0.00558189	0.201760041	0.081849082	1.191288703	24.57207652	60.98216968	89.57383458	157.9507307	37.77380143	549.0744393	2.493262643	1.539486724	3.444740064	0.492749241	0.044818355	0.056802731	0.011984376	51418715.64	0.107301146	-1.471480931
CLUB	Travel & Leisure	-0.00813588	0.932263636	-0.005292258	0.043873667	-0.000804642	0	0.060856846	0.066585279	0.015440255	38.77059975	2.941812185	0.11399761	58.39128393	182.1424389	323.4832899	0.897161409	0.893902929	1.02831521	1.178191129	0.074939693	-0.007983204	-0.082922897	-19163994.34	0.052117938	0.767061923
EYEN	Biotechnology	0	0	0	0	-1.078607091	0	0	0	0	0	nan	nan	0	0	0	7.664270878	7.664270878	0	0.131806904	0.12376647	-1.245245477	-1.143655452	-19346822.43	0	nan
BDR	Communication Equipment	-0.01156654	0.342040566	-0.050600684	-0.006047557	-0.067777791	0.114886404	0.200181513	0.374792705	0.040142878	6.479875912	43.75930366	187.8393401	169.3928662	47.00629776	294.4721713	3.623077853	0.793619492	-1.628420813	0.438989251	0.344823991	-0.130893824	-0.475717815	-4152175.752	0	0
SHOP	Application Software	0.89727457	0.618342857	-0.094657143	-0.056428571	-0.083098191	0.227502878	0.490158329	nan	0	449.7602096	15.92193618	0	485.5868747	43.00112602	548.4069124	8.365363302	8.365363302	0	0.155446827	nan	-0.10653562	nan	nan	0	nan
AKER	Medical Instruments & Equipment	0.145461809	0.429640673	-2.388577342	-1.810918836	-0.64866119	0.423496522	2.095594326	0	-0.009557975	677.2082418	104.8239078	285.0490486	970.7497452	32.96262728	1307.09368	3.715884574	3.125829909	0	0.229278723	-0.043666329	-0.831002109	-0.832930273	-5117785.099	2.35E-05	-0.005024881
FTV	Computer Hardware	0.009782872	0.490625935	0.173167634	0.156888319	0.117446726	0.062015627	0.239577024	0.017203165	0.239720395	32.37315015	60.5032225	61.66138747	137.5361023	30.80315635	564.0755724	1.407295162	1.070060691	7.968286008	0.462602494	0.060085659	0.158751419	0.09325856	854566921.3	0.003338308	0.036419772
AXTA	Chemicals	0	0.349987969	0.005884464	0.067500172	0.005007085	0.013090401	0.229378856	0.050952341	0.35502734	47.3784222	61.11783955	73.87690509	174.7482882	121.8356743	542.8497717	2.091492762	1.517105941	1.498458472	0.817604284	0.072518046	0.006443108	-0.0557269	-264743103.5	0.000431369	0.057758969
VSAT	Communication Equipment	0.00954	0.464528226	-0.001358844	-0.056449393	-0.000612737	0.056590935	0.212521103	1.566292247	0.287653069	26.9248728	71.76882193	95.52299562	156.3926964	208.4145233	644.2234948	1.908890746	1.44303864	-1.624838529	0.483578634	0.052059106	-0.002250143	-0.054309249	-102903071.7	0	0
ADES	Industrial Products	0.078433678	0.582308027	0.002683621	-0.553063894	-0.039236538	0.0495625	0.587413544	0.240212486	-0.015012191	300.3104264	144.9590691	119.8311979	554.364192	209.8214757	1187.494643	1.571944097	1.487543214	-135.6376502	0.700249908	0.078214379	1.283885437	1.505298108	3325739.138	0.035834058	0.282918876
BSQR	Application Software	0.04383564	0.191330073	-0.037644077	-0.006595908	-0.083537533	0.051315582	0.17021964	0	-0.074626983	84.80566612	60.93552822	0	149.9479577	3.555024612	177.7492048	6.367373078	6.367373078	0	0.407455085	0.116802347	-0.151345637	-0.312028001	-6559090.042	0	0
EPAC	Specialty Industrial Machinery	0.00384	0.378946727	-0.02422506	0.083880452	-0.012581762	0.013089216	0.023081788	0.01290591	0.131254998	47.6132596	59.71799623	73.5030815	193.8535606	36.32681949	509.9994357	1.989977638	1.485115161	1.049461828	0.577649487	0.077160666	-0.017498053	-0.390515523	-310494597	0.001817907	0.057705148
EQT	Oil & Gas - E&P	-0.015290909	-0.559348542	29.31563962	-29.88014226	0.005494003	0.974008313	19.09419872	0.075238504	0.062776054	9562.676022	7476.329825	12.03639852	41236.91494	273520.6573	327255.7918	1.725851455	1.647608537	0.826305671	0.57755986	0.043298519	0.004264389	-0.03903413	-479204122.7	0.015236325	0.229620491
PPBI	Banks	0.048321333	1	7.595628472	11.2315412	0.008478141	0.677964766	7.29544952	0.169805745	0.338392344	36321.22306	748.2661647	nan	37235.7706	1213.28638	227299.9831	12.93733716	12.93733716	3.557036229	0.880973137	0.077398973	0.055191775	-0.022207198	-26302847.92	0.004656906	0.033726318
CALX	Communication Equipment	0.014756772	0.409995168	-0.078965015	0.00455611	-0.094904299	0.208664754	0.260154895	0.017577273	-0.015820533	67.65441203	50.07720948	66.17857403	174.8175703	17.10269455	320.4743906	2.078956186	1.618583357	-58.85923228	0.358386557	0.043550439	-0.124454629	-0.18747744	-41154086.38	0	nan
EFF	Asset Management	0.153666667	0.6111	nan	nan	nan	nan	nan	nan	nan	57.78037859	65.48850329	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
DNLI	Biotechnology	0	0.4	-1.537591818	-1.19832344	-0.274089375	1.67146301	0.398543267	0	0.000404012	1398.97025	11.45885632	nan	1448.473682	142.0958257	1887.973529	16.53084977	16.53084977	-30.60366972	0.134693729	0.137341597	0.267264453	-0.371587682	-189806463.1	0	nan
ABB	Computer Hardware	-0.014008143	0.29616	0.07532	0.08918	0.059992445	0.037302258	0.159247904	0.044043532	0.261769265	74.3643136	106.1882402	77.62714576	268.1870214	53.92535783	469.9902352	1.470096335	1.167375613	15.9877182	0.621811252	0.072456996	0.118124182	0.045667186	924626747.1	0.029776373	0.463543097
WCC	Industrial Distribution	-0.020091156	0.179911396	0.024987126	0.030296565	0.046433111	0	0.141542524	0.030379311	0.267353253	5.915320115	53.18292662	51.07536673	109.033985	8.541013846	217.7312608	2.211639075	1.380269299	2.778367791	0.584156608	0.076825833	0.06655762	-0.010268214	-27833268.3	0	0
TEVA	Drug Manufacturers	0.074091214	0.524219549	0.006616321	0.165012867	0.010091924	0.070785521	0.24140008	0.036498168	0.133859157	42.20755356	112.668152	183.6934742	282.3135409	118.056152	1021.82125	1.16591977	0.806684724	5.461402397	0.555032435	0.088179009	0.012000619	-0.07617839	-3525902441	54.46185101	0.705395031
